2023.04.13 19:01:44 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.authentication.InitFilter@32834e0f [pattern=UrlPattern{inclusions=[/sessions/init/*], exclusions=[]}]
2023.04.13 19:01:44 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.authentication.OAuth2CallbackFilter@767733c7 [pattern=UrlPattern{inclusions=[/oauth2/callback/*], exclusions=[]}]
2023.04.13 19:01:44 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.authentication.ResetPasswordFilter@7e49fcd3 [pattern=UrlPattern{inclusions=[/*], exclusions=[*.css, ...]}]
2023.04.13 19:01:44 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.authentication.ws.LoginAction@371b9361 [pattern=UrlPattern{inclusions=[/api/authentication/login], exclusions=[]}]
2023.04.13 19:01:44 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.authentication.ws.LogoutAction@579544c3 [pattern=UrlPattern{inclusions=[/api/authentication/logout], exclusions=[]}]
2023.04.13 19:01:44 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.authentication.ws.ValidateAction@1290de3d [pattern=UrlPattern{inclusions=[/api/authentication/validate], exclusions=[]}]
2023.04.13 19:01:44 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.user.ws.ChangePasswordAction@55f20bf9 [pattern=UrlPattern{inclusions=[/api/users/change_password], exclusions=[]}]
2023.04.13 19:01:45 INFO  web[][o.s.s.q.ProjectsInWarningDaemon] Counting number of projects in warning is not started as there are no projects in this situation.
2023.04.13 19:01:45 INFO  web[][o.s.s.p.p.PlatformLevelStartup] Running Community Edition
2023.04.13 19:01:45 INFO  web[][o.s.s.p.Platform] WebServer is operational
2023.04.13 19:07:44 INFO  web[][o.s.p.ProcessEntryPoint] Gracefully stopping process
2023.04.13 19:07:44 INFO  web[][o.s.s.n.NotificationDaemon] Notification service stopped
2023.04.13 19:07:44 INFO  web[][o.s.s.p.d.EmbeddedDatabase] Embedded database stopped
2023.04.13 19:07:44 INFO  web[][o.s.s.app.WebServer] WebServer stopped
2023.04.13 19:08:08 INFO  web[][o.s.p.ProcessEntryPoint] Starting web
2023.04.13 19:08:10 INFO  web[][o.a.t.u.n.NioSelectorPool] Using a shared selector for servlet write/read
2023.04.13 19:08:11 INFO  web[][o.s.s.e.EsClientProvider] Connected to local Elasticsearch: [http://localhost:9001]
2023.04.13 19:08:14 INFO  web[][o.s.s.p.LogServerVersion] SonarQube Server / 8.9.10.61524 / b30ff33db8ea2d93551a6a3d4820452e0037d58f
2023.04.13 19:08:16 INFO  web[][o.s.s.p.d.EmbeddedDatabase] Starting embedded database on port 9092 with url jdbc:h2:tcp://127.0.0.1:9092/sonar
2023.04.13 19:08:16 INFO  web[][o.s.s.p.d.EmbeddedDatabase] Embedded database started. Data stored in: /opt/sonarqube/data
2023.04.13 19:08:16 INFO  web[][o.sonar.db.Database] Create JDBC data source for jdbc:h2:tcp://127.0.0.1:9092/sonar
2023.04.13 19:08:18 WARN  web[][o.s.db.dialect.H2] H2 database should be used for evaluation purpose only.
2023.04.13 19:08:22 INFO  web[][o.s.s.p.ServerFileSystemImpl] SonarQube home: /opt/sonarqube
